"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PLEKHJ1",1055.5183380775,0.0528265187814895,0.0721950869317704,0.731719027243703,0.464340080450959,0.764095509928456
"TRAF3IP1",581.577995902082,0.0719493253779881,0.0983578128225607,0.731505950704556,0.464470171121019,0.764095509928456
"UIMC1",501.155610669002,0.0795007249407347,0.108697580927604,0.731393691214572,0.464538717617323,0.764095509928456
"AC008878.3",76.6827985783718,1.88401783933563,2.57726160809749,0.731015366626437,0.464769766924549,0.76410031749885
"CHSY3",51.130654339837,0.232075784839406,0.317480827457773,0.730991495447939,0.464784347605791,0.76410031749885
"PHF20",1185.53087557867,-0.0501716673608241,0.068633505368263,-0.731008376908927,0.464774036266096,0.76410031749885
"AC004556.3",57.393580821548,-0.216010443996277,0.295606099839923,-0.73073743780406,0.464939543538012,0.76424629263358
"LINC00963",1135.85860912895,0.0516479075203497,0.0707012713802257,0.730508893434058,0.465079178822443,0.76424629263358
"SNU13",1389.34695679644,0.0491278821680874,0.0672508823165313,0.730516544554107,0.465074503789171,0.76424629263358
"TXN",1404.43146488669,-0.0506164664076822,0.0692806857786755,-0.730599962150806,0.465023535164282,0.76424629263358
"AC012146.1",50.9474221876372,-0.225328140488152,0.308545588878928,-0.730291239316891,0.465212182090826,0.764380193320221
"RPS2",29802.0186039523,-0.0296467370011203,0.0406005391522459,-0.730205500226229,0.46526458102033,0.764381639751814
"DPH7",428.703722447481,-0.0865021810877038,0.118589217916327,-0.729427030615354,0.465740488135953,0.764655485501066
"ELMOD2",538.805763273299,0.070977320921667,0.0972991472590783,0.729475261819878,0.46571099476961,0.764655485501066
"EPHA4",230.29891682745,0.108269304153128,0.148430506104243,0.729427575198662,0.46574015511764,0.764655485501066
"RELA-DT",29.7262045191759,-0.325709491475246,0.446290880763619,-0.729814355422066,0.465503668433745,0.764655485501066
"REXO4",639.811001304518,-0.0655895451255053,0.0898923817271565,-0.729645203133946,0.465607083979205,0.764655485501066
"ZNF529-AS1",53.6325927995819,-0.229732096226669,0.31488672596837,-0.729570595648878,0.465652701215865,0.764655485501066
"ABITRAM",264.92696531688,0.106081325974606,0.145640817523956,0.728376342416208,0.466383241093611,0.764701905614342
"ALDH9A1",1437.50729630168,-0.0484382346118426,0.0664956452503608,-0.728442207447859,0.466342934047925,0.764701905614342
"ATG16L1",905.771338053076,-0.0584935382435173,0.0803847563525334,-0.727669534594215,0.466815903925412,0.764701905614342
"CAMKK1",368.261232704279,0.0885155154892134,0.121473080038118,0.728684211032083,0.466194853109108,0.764701905614342
"CDKN2D",108.550849050772,0.165547443091937,0.227154944004988,0.728786440537706,0.466132307164497,0.764701905614342
"CTSV",101.65115076052,-0.165734290350692,0.227617464030608,-0.728126424993492,0.466536199214059,0.764701905614342
"DKC1",923.068405890076,0.0584720861123929,0.0802392989692534,0.728721298210726,0.466172161933351,0.764701905614342
"DLG4",702.275428287519,-0.0695573847862023,0.0955960905650475,-0.727617461917782,0.466847788313347,0.764701905614342
"EME1",59.56819702353,-0.228713053192363,0.313638307267599,-0.729225505598789,0.465863731844981,0.764701905614342
"GOLGA7",814.161153991589,0.0631450360293844,0.0868150138375993,0.727351563261935,0.467010618365337,0.764701905614342
"H4C12",1041.8417722741,-0.0717691323911884,0.0984708681652305,-0.728836190118305,0.46610187111593,0.764701905614342
"HLA-DPA1",80.1022860391844,0.182658787418408,0.251154910906415,0.727275396523979,0.467057266878558,0.764701905614342
"KIF18A",139.165745499153,-0.137444973488288,0.188970298919623,-0.727336381823415,0.467019916069931,0.764701905614342
"LATS1",1181.10537455066,-0.0579622948705167,0.0796225654648213,-0.727963166373049,0.466636134177268,0.764701905614342
"MAN1A1",1795.96970008297,-0.048591131728269,0.0667929371047951,-0.727489070469108,0.466926408269271,0.764701905614342
"METTL21A",250.993755743907,-0.10455743061863,0.143702813586894,-0.727594874510974,0.466861619083198,0.764701905614342
"POP1",441.186057011937,-0.0830852804106931,0.114037986780171,-0.728575475212966,0.466261384853001,0.764701905614342
"RBM15",926.844301592199,-0.0561568905912668,0.0771244168109853,-0.728133746915647,0.466531717548207,0.764701905614342
"SYNE4",32.7249016585302,0.27782105113623,0.381779245786298,0.727700770019703,0.46679677888123,0.764701905614342
"SZRD1",3338.05563907779,0.0362176986193953,0.0496739166657715,0.729108978119931,0.465935003116984,0.764701905614342
"ULK1",1710.11042927002,-0.0508968641639358,0.0698725494248702,-0.728424318031535,0.466353881540149,0.764701905614342
"USP20",581.87269964711,0.0742003915701404,0.101972173888931,0.727653326788546,0.466825827925018,0.764701905614342
"WDR70",336.152433840112,0.0899182089076783,0.123309875059261,0.729205255170884,0.465876117104739,0.764701905614342
"WHAMMP2",118.788238449107,0.162094639489426,0.222577609551426,0.728261211071972,0.466453702006379,0.764701905614342
"ZNF34",83.1657790621252,-0.188725628744489,0.259271162554586,-0.727908290628949,0.466669727753533,0.764701905614342
"ASAH1",2005.88945959483,0.0433788767619948,0.0596812859219195,0.726842193359357,0.467322632404393,0.76474088892559
"NUP58",1510.93671751916,0.0552928414932926,0.0760524265220223,0.727035862258538,0.467203987092827,0.76474088892559
"PRDM11",322.173964698479,0.0917746992770917,0.126260469648501,0.726868033459602,0.467306801293819,0.76474088892559
"RNASEH2C",697.274868933188,0.0639823823316079,0.0880192347526317,0.726913640085867,0.467278860814141,0.76474088892559
"ZNF334",284.801415930631,-0.100077770451499,0.13769344003127,-0.726815819466571,0.467338790853159,0.76474088892559
"HMCN1",67.4047858049668,0.192536385906735,0.265009471748876,0.726526431814422,0.467516109845918,0.764945289369139
"SLC10A3",819.172717862808,-0.0663284884775729,0.0913057532492012,-0.726443691850855,0.467566814672017,0.764945289369139
"P2RY11",261.490622444246,0.105058358574058,0.144673741994634,0.72617433630738,0.467731902642095,0.765131007662708
"ACVRL1",75.0617823172796,0.201394737045672,0.27741837203522,0.725960344905,0.467863080958733,0.765261220613462
"CDKN2B",216.374650757044,0.114723186093787,0.158060568099351,0.725817877749725,0.467950425682362,0.76531971625322
"IST1",1829.6741853672,-0.0443136794860261,0.0610643615275932,-0.725688083482246,0.468030008689478,0.765365506329306
"IFT20",253.737029999546,-0.108644207026353,0.149830834444949,-0.725112473869797,0.468383032509479,0.765482235397324
"KIAA1841",253.133048515737,-0.111631117865529,0.15395929701109,-0.725069028195732,0.468409683908205,0.765482235397324
"NUP107",497.889458432713,-0.0830249391913699,0.114457614457026,-0.725377158918005,0.468220681738737,0.765482235397324
"SNORA17B",30.4904009784483,-0.29251508419206,0.403431815781473,-0.725066969806136,0.46841094663155,0.765482235397324
"STX16-NPEPL1",31.7463692041799,0.299676037404197,0.413261066448467,0.725149455717155,0.468360346954678,0.765482235397324
"ZNF763",32.6552179356741,-0.281763269822095,0.388519132311961,-0.725223666966941,0.468314825824124,0.765482235397324
"NR2C1",492.80272740068,-0.0802783242509815,0.110732271620073,-0.724976766722708,0.468466283750012,0.765488353744376
"CDYL",616.733246359334,-0.0719340481456176,0.099265532118062,-0.724662897692045,0.468658861997178,0.765718702285226
"EIF5AL1",106.002778981938,-0.178372098996375,0.246212291425191,-0.724464639697208,0.468780528230829,0.765831686903929
"ZNF254",325.384300758035,0.0891691054646767,0.123096798908417,0.72438200063202,0.468831247027592,0.765831686903929
"OSBPL6",253.442355695658,-0.10403994459562,0.143656219395352,-0.72422861351582,0.4689253946927,0.765901153792998
